gene,direction_consistent_all_studies,min_abs_shift,mean_shift,OSD-48_flight_minus_ground,OSD-379_flight_minus_ground,OSD-463_flight_minus_ground
CD248,False,0.0050110101699829546,-0.02010818223158517,0.0050110101699829546,-0.12900684773921967,0.0636712908744812
CCDC148,False,0.005007962385813358,0.021863198280334468,-0.033714112639427196,0.005007962385813358,0.09429574509461724
KYAT3,False,0.005004326502481504,-0.5145951853858101,-0.763686323165893,0.005004326502481504,-0.7851035594940186
CTTNBP2NL,False,0.005000913143157981,-0.04585855007171632,-0.005000913143157981,0.05348672469456983,-0.1860614617665608
RNF8,False,0.00499618550141645,0.001490956048170733,-0.0247872233390809,-0.00499618550141645,0.03425627698500955
CIP2A,False,0.004995596905549404,0.029450358781549668,0.07976146340370183,0.013585209846496582,-0.004995596905549404
TTLL6,False,0.004993187263607979,-0.0029222961101267077,0.004993187263607979,-0.00782427719483773,-0.0059357983991503716
PARPBP,False,0.0049911439418792725,-0.01119977451033063,-0.03293292373418809,0.0049911439418792725,-0.005657543738683074
DESI1,False,0.004988233248392593,-0.10175536208682583,-0.3743461608886718,-0.004988233248392593,0.07406830787658691
REM2,False,0.004972259824474648,0.01338883021639453,0.060675093531608576,-0.015536343057950338,-0.004972259824474648
WNT5A,False,0.004970598220825212,-0.005637084278795436,0.004970598220825212,-0.05898265043894446,0.03710079938173294
NOL4L,False,0.004969095190366146,0.008884595168961432,-0.06661291271448133,0.004969095190366146,0.08829760303099948
SV2C,False,0.004963166452944279,0.0069861485571083085,-0.004963166452944279,0.01927033330624302,0.006651278818026185
TMCO3,False,0.004955112934112549,-0.06353972223069933,-0.0901824593544005,0.004955112934112549,-0.10539182027181004
NLGN2,False,0.004949162403742463,-0.04358801709281071,-0.11501082181930533,-0.020702391862869263,0.004949162403742463
BAIAP2L2,False,0.004936719313263891,-0.020950779556814167,-0.07535873502492904,0.004936719313263891,0.0075696770412226515
ERN2,False,0.004935381623605887,0.0005941321452458712,0.010210854560136796,-0.01336383974800507,0.004935381623605887
ADAM22,False,0.00493350190420945,0.0019671329504085885,-0.008574196975678204,0.00954209392269452,0.00493350190420945
KCNQ1,False,0.004932680726051297,-0.032600295543670665,0.004932680726051297,-0.14565607408682502,0.04292250672976172
TMEM81,False,0.004932204882303837,-0.06854033337699046,-0.10112628936767587,-0.10942691564559937,0.004932204882303837
TRPM8,False,0.004930611078937847,0.006755423463053171,-0.025889552384614944,-0.004930611078937847,0.051086433852712304
MROH8,False,0.004920873480538525,-0.0013024290402730311,-0.04838778413832188,0.03955962353696426,0.004920873480538525
FANCD2,False,0.004913431902726487,-0.023217314316166773,-0.10227297767996787,0.03753446663419405,-0.004913431902726487
LAS1L,False,0.004902680714925278,-0.0014492326312596227,-0.17570934295654306,-0.004902680714925278,0.17626432577768947
CCDC90B,False,0.0048970778783163915,-0.026502243677775095,-0.17536172866821298,0.0048970778783163915,0.0909579197565713
GZMK,False,0.004890104134877518,-0.00696384345905648,0.007684162259101873,-0.004890104134877518,-0.023685588501393795
SOD2,False,0.00486509005228708,-0.07894288698832197,-0.20530781745910653,-0.036385933558146455,0.00486509005228708
CABIN1,False,0.004865050315856934,-0.03395975563261241,-0.329648184776306,0.004865050315856934,0.22290386756261182
CFAP44,False,0.004864697499821583,0.005301219933769768,0.02016013637185097,0.004864697499821583,-0.009121174070363244
PJVK,False,0.004860125482082367,-0.018701367576917014,-0.02465053051710129,0.004860125482082367,-0.03631369769573212
ZNF518A,False,0.0048563480377197266,-0.028422203328874424,0.06312322616577148,-0.14353348811467503,-0.0048563480377197266
NELFA,False,0.0048478603363038,0.05234682692421785,-0.0048478603363038,0.21168955167134573,-0.0498012105623884
DAP3,False,0.0048410892486572266,-0.1316257768207126,-0.15403876304626474,-0.2456796566645303,0.0048410892486572266
DNAJB13,False,0.004834381863474846,0.04379647705290052,0.1247293323278427,0.011494480694333713,-0.004834381863474846
CHST3,False,0.0048312239814549685,-0.012695543731873241,-0.08874453008174898,0.05548912286758423,-0.0048312239814549685
TWNK,False,0.004825592041015625,-0.08593600591023758,-0.28191952705383283,0.028937101364135742,-0.004825592041015625
RNF157,False,0.004820692539215077,-0.016835008064905805,0.004820692539215077,-0.010863934954007504,-0.04446178177992499
RNF222,False,0.004815434105694294,-0.005462109442386361,-0.007774325460195547,0.004815434105694294,-0.01342743697265783
APCDD1,False,0.004813987761735916,0.005283985579282873,0.005125906690955162,-0.004813987761735916,0.015540037808629373
FANCA,False,0.004813484847545624,0.0215204005750517,-0.004813484847545624,-0.0055955705853800025,0.07497025715808073
IRX1,False,0.004807323217391968,-0.010150295909908078,-0.05523795485496519,-0.004807323217391968,0.02959439034263292
ITGAM,False,0.004798879226048797,-0.02765661374562316,0.02310355007648468,0.004798879226048797,-0.11087227053940296
RASSF9,False,0.004798583686351776,0.007176876233683682,-0.03764778822660447,0.05437983324130374,0.004798583686351776
SERINC4,False,0.004798470841099821,0.021977252544214333,0.0606291249394417,0.010101103534301117,-0.004798470841099821
KLHL8,False,0.004794704914093062,0.036976326836480077,0.004794704914093062,-0.04497702916463209,0.15111130475997925
ITGAD,False,0.004783863512178263,-0.004618632912428842,-0.012777710705995558,0.004783863512178263,-0.00586205154346923
ZNF804B,False,0.004774436665078,0.008070197391013305,0.012229798734188078,0.016755230103929833,-0.004774436665078
SHISA8,False,0.004745263606309891,0.019418012050704824,0.03140012845396995,-0.004745263606309891,0.03159917130445441
TEX11,False,0.004740318128218254,0.002361767790797685,-0.005830069631338119,0.00817505487551292,0.004740318128218254
ATCAY,False,0.004739190296580395,-0.0026666233005623024,-0.00501498430967331,-0.007724075888593991,0.004739190296580395
ALKBH6,False,0.004727005958557129,-0.05966858069101977,-0.09271574020385742,-0.09101700782775901,0.004727005958557129
ZSCAN2,False,0.004707002639770419,0.05029597414864447,-0.004707002639770419,-0.05213610331217433,0.20773102839787816
CAMK2A,False,0.004706040645639101,0.05153671089145872,-0.009098875150084496,0.16841504847009975,-0.004706040645639101
ADRA2A,False,0.004694897759084901,0.01850759276809792,-0.010760314762592316,0.061588195307801165,0.004694897759084901
TBX19,False,0.004690191398064296,0.009671902894559832,0.02830325327813625,-0.004690191398064296,0.005402646803607543
RGS20,False,0.004687780824800332,-0.007126123872068193,-0.028235627710819243,0.011545036919414997,-0.004687780824800332
STUM,False,0.00468364171683789,-0.012038084554175531,-0.01994678247720003,-0.02085111290216446,0.00468364171683789
C1QTNF6,False,0.00468096137046814,-0.09063079125351377,-0.02015182375907898,-0.2564215113719305,0.00468096137046814
KIF5C,False,0.004667220171540976,-0.004293552361842659,-0.004778569005429743,0.004667220171540976,-0.01276930825163921
SLC5A11,False,0.004663372722764812,0.0038757702749636475,0.00898756980895997,-0.004663372722764812,0.007303113738695785
CFD,False,0.004653756817181942,0.17608932058016455,0.6855434745550155,-0.004653756817181942,-0.15262175599733996
PDLIM3,False,0.004648944983879799,-0.049049423055516315,-0.0714939326047897,0.004648944983879799,-0.08030328154563904
P2RY14,False,0.004644274711608887,-0.08578350643316905,-0.06407654285430908,0.004644274711608887,-0.19791825115680695
TMPRSS5,False,0.004640119460721811,-0.004765456314716072,-0.005970300734043122,-0.012966187670826905,0.004640119460721811
TG,False,0.0046311249025166035,0.1648533486864633,0.015737767890095712,-0.0046311249025166035,0.4834534030718108
RASL12,False,0.004627280558149038,0.00598199953221613,-0.012160802632570265,0.004627280558149038,0.025479520671069615
RASSF2,False,0.004623373349507687,-0.07129644751548768,-0.02993382215499879,0.004623373349507687,-0.18857889374097192
CPA2,False,0.004621351758639018,0.06168988384306431,0.014802801609039306,-0.004621351758639018,0.17488820167879263
ZNRD2,False,0.004609312862157822,-0.006599962049060391,-0.08650599718093871,0.07131542389591536,-0.004609312862157822
DNAAF5,False,0.0046041806538899,0.010491100947062145,-0.1806962251663209,-0.0046041806538899,0.21677370866139722
