model,training_pool,reference,program,omitted_id,response_attribution_gap,retains_full_sign
bridge,YA,training_all_mean_TPM,oxidative_stress,GSE298393:GSM9013412,0.06046003803535367,True
bridge,YA,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013398,0.2134612355881841,True
bridge,YA,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013399,0.19374594326835143,True
bridge,YA,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013400,0.11837006436652348,True
bridge,YA,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013410,0.2076551724746447,True
bridge,YA,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013411,0.21625854922402377,True
bridge,YA,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013412,0.10166352152439051,True
bridge,YA,training_all_mean_TPM,proteostasis,GSE298393:GSM9013398,0.028596920961055095,True
bridge,YA,training_all_mean_TPM,proteostasis,GSE298393:GSM9013399,0.044982176159847745,True
bridge,YA,training_all_mean_TPM,proteostasis,GSE298393:GSM9013400,0.01632431496834863,True
bridge,YA,training_all_mean_TPM,proteostasis,GSE298393:GSM9013410,0.042563444331596575,True
bridge,YA,training_all_mean_TPM,proteostasis,GSE298393:GSM9013411,0.019529827451357548,True
bridge,YA,training_all_mean_TPM,proteostasis,GSE298393:GSM9013412,0.027810140306297373,True
bridge,YA,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013398,0.7073735161497684,True
bridge,YA,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013399,0.7177293422978188,True
bridge,YA,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013400,0.8775445890535618,True
bridge,YA,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013410,0.7362751813020096,True
bridge,YA,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013411,0.7645705075640169,True
bridge,YA,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013412,0.8018017586351223,True
bridge,YA,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013398,-0.0003996334140896479,True
bridge,YA,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013399,-0.023928207188814096,True
bridge,YA,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013400,-0.0439029811307588,True
bridge,YA,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013410,-0.06844733128192405,True
bridge,YA,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013411,-0.04419270047617323,True
bridge,YA,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013412,0.04440921002443472,False
bridge,YA,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013398,0.06332789345807838,True
bridge,YA,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013399,0.0838157480160534,True
bridge,YA,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013400,0.12846612780249111,True
bridge,YA,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013410,0.08016021422552791,True
bridge,YA,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013411,0.0902329355849989,True
bridge,YA,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013412,0.10521661946609595,True
bridge,YA,training_ground_mean_TPM,oxidative_stress,GSE298393:GSM9013398,0.06049134955509761,True
bridge,YA,training_ground_mean_TPM,oxidative_stress,GSE298393:GSM9013399,0.0601764335723788,True
bridge,YA,training_ground_mean_TPM,oxidative_stress,GSE298393:GSM9013400,0.059533280637283276,True
bridge,YA,training_ground_mean_TPM,oxidative_stress,GSE298393:GSM9013410,0.06251202627087017,True
bridge,YA,training_ground_mean_TPM,oxidative_stress,GSE298393:GSM9013411,0.05463201328264318,True
bridge,YA,training_ground_mean_TPM,oxidative_stress,GSE298393:GSM9013412,0.06305702421124627,True
bridge,YA,training_ground_mean_TPM,inflammatory_signaling,GSE298393:GSM9013398,0.20125192092088917,True
bridge,YA,training_ground_mean_TPM,inflammatory_signaling,GSE298393:GSM9013399,0.1837917440104615,True
bridge,YA,training_ground_mean_TPM,inflammatory_signaling,GSE298393:GSM9013400,0.1040227537398325,True
bridge,YA,training_ground_mean_TPM,inflammatory_signaling,GSE298393:GSM9013410,0.1958193256625143,True
bridge,YA,training_ground_mean_TPM,inflammatory_signaling,GSE298393:GSM9013411,0.20384333592241227,True
bridge,YA,training_ground_mean_TPM,inflammatory_signaling,GSE298393:GSM9013412,0.08940375708625664,True
bridge,YA,training_ground_mean_TPM,proteostasis,GSE298393:GSM9013398,0.027216775621558498,True
bridge,YA,training_ground_mean_TPM,proteostasis,GSE298393:GSM9013399,0.04271079399943341,True
