model,training_pool,id,sample_index,label,reference,program,positive_allocated_logit,opposing_allocated_logit,supporting_share_percent,opposing_share_percent
expression,YA,GSE298393:GSM9013412,11,1,training_all_mean_TPM,proteostasis,0.04700207528598921,0.02568588574733338,0.5091630856161038,0.5479026549360726
expression,YA,GSE298393:GSM9013412,11,1,training_all_mean_TPM,muscle_remodeling,0.17737709084593,0.055076692742453665,1.9214867927255808,1.1748345560488027
expression,YA,GSE298393:GSM9013412,11,1,training_all_mean_TPM,outside_six_programs,8.66893966329058,4.455086728853656,93.90870596934249,95.0309391983024
expression,OS,GSE298393:GSM9013395,0,0,training_ground_mean_TPM,mitochondrial_expression,0.1312796112571314,0.02326912377170199,1.0234911743893522,0.5916051524053164
expression,OS,GSE298393:GSM9013395,0,0,training_ground_mean_TPM,dna_repair,0.12853386043622542,0.027601210361626174,1.0020845621564347,0.7017461603955656
expression,OS,GSE298393:GSM9013395,0,0,training_ground_mean_TPM,oxidative_stress,0.018559958212334957,0.02554649068698461,0.14469842838088165,0.6495060005084615
expression,OS,GSE298393:GSM9013395,0,0,training_ground_mean_TPM,inflammatory_signaling,0.233395108943026,0.14327805252222622,1.8196110718285827,3.6427686289516275
expression,OS,GSE298393:GSM9013395,0,0,training_ground_mean_TPM,proteostasis,0.13610825524908468,0.014199387927803713,1.061136582253583,0.3610119204104473
expression,OS,GSE298393:GSM9013395,0,0,training_ground_mean_TPM,muscle_remodeling,0.19254552013494702,0.05557918466188712,1.501136685576683,1.4130713444588772
expression,OS,GSE298393:GSM9013395,0,0,training_ground_mean_TPM,outside_six_programs,11.986225784169957,3.6437451295706085,93.44784149541447,92.64029079286969
