training_pool,id,sample_index,label,reference,program,kind,replicate,n_genes,renormalized,expression_logit_change,bridge_logit_change,perturbed_logit,original_logit,reference_logit
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,2,43,True,0.02452192725746727,0.07962541111737664,-8.080781659937657,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,3,43,False,0.0028889538267620196,0.37816912742960085,-8.37932537624988,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,3,43,True,0.011119022431536507,0.4033917695362561,-8.404548018356536,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,4,43,False,-0.015690125912222186,-0.05754240536748512,-7.943613843452795,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,4,43,True,-0.0048101518749348315,-0.024163131170780616,-7.976993117649499,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,5,43,False,-0.03228692338107919,-0.010385626114157276,-7.990770622706123,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,5,43,True,-0.019494127176997722,0.02891307501954543,-8.030069323839825,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,6,43,False,-0.01700936114585261,0.02472171716703997,-8.02587796598732,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,6,43,True,-0.010505237951214497,0.04475846744321643,-8.045914716263496,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,7,43,False,-0.017717846326654296,-0.10832986869286287,-7.892826380127417,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,7,43,True,-0.011411600982171421,-0.08897055060992898,-7.912185698210351,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,8,43,False,0.005642567385656605,-0.08701650661737403,-7.914139742202906,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,8,43,True,0.007871291109005085,-0.08013940964815447,-7.921016839172125,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,9,43,False,-0.022579175096574033,-0.351822568828311,-7.649333679991969,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,9,43,True,-0.10532848006348416,-0.6040004421108733,-7.3971558067094065,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,10,43,False,-0.013778771352136232,-0.1963358793889256,-7.804820369431354,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,10,43,True,-0.0025372102980441014,-0.16178142222224778,-7.839374826598032,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,11,43,False,-0.002056517814963854,0.041720742245388465,-8.042876991065668,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,11,43,True,-0.00045281250353212954,0.046606083890537775,-8.047762332710818,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,12,43,False,0.010948946673856597,0.035856828911846605,-8.037013077732126,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,12,43,True,-0.10393355582804986,-0.3174969653998687,-7.683659283420411,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,oxidative_stress,matched_random,13,43,False,-0.007486783758210436,-0.1377643685611929,-7.863391880259087,-8.00115624882028,-5.8252854711124655
