study,species,setting,tissue,material,stratum,contrast,n_control,n_exposed,n_training_samples,n_validation_samples,representation,effect_over_within_rms,split_positive_fraction,split_median_cosine,loo_min_direction_cosine,resampling_unit,n_effective_units,n_balanced_splits,projection_log_count_spearman
OSD-419,mouse,actual_flight,skeletal muscle,Right gastrocnemius,|||c57bl/6j|female|16 {week}||37 {day}|mini cold bag to -80c freezer|rnalater,OSD-419|Right gastrocnemius|2664dccf,6,4,0,0,PCA8_descriptive,0.6814895425035945,0.9333333333333333,0.07019768199895896,0.9092133336450261,within-condition sample splits,10,120,0.3939393939393939
OSD-419,mouse,actual_flight,skeletal muscle,Right gastrocnemius,|||c57bl/6j|female|16 {week}||37 {day}|mini cold bag to -80c freezer|rnalater,OSD-419|Right gastrocnemius|2664dccf,6,4,0,0,model_mean,0.747414398641455,0.85,0.35898425208357854,0.8840411914830146,within-condition sample splits,10,120,0.6484848484848483
OSD-419,mouse,actual_flight,skeletal muscle,Right gastrocnemius,|||c57bl/6j|female|16 {week}||37 {day}|mini cold bag to -80c freezer|rnalater,OSD-419|Right gastrocnemius|2664dccf,6,4,0,0,model_std,0.5293388192190444,0.2833333333333333,-0.12380420098990344,0.7070858774609173,within-condition sample splits,10,120,0.6363636363636362
OSD-457,mouse,actual_flight,brain,Cerebrum,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Cerebrum|3ec2dbad,6,6,0,0,raw,0.6109160662585504,0.745,0.07634609494298956,0.9419253717692792,within-condition sample splits,12,400,-0.6433566433566434
OSD-457,mouse,actual_flight,brain,Cerebrum,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Cerebrum|3ec2dbad,6,6,0,0,PCA8_descriptive,0.6622169398124931,0.83,0.1627027166798881,0.9415748856507008,within-condition sample splits,12,400,-0.5944055944055945
OSD-457,mouse,actual_flight,brain,Cerebrum,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Cerebrum|3ec2dbad,6,6,0,0,model_mean,0.6379693902082065,0.695,0.2861922329540204,0.9148241942167651,within-condition sample splits,12,400,-0.6993006993006995
OSD-457,mouse,actual_flight,brain,Cerebrum,|||c57bl/6ncrl|male|12 {week}|nrf2ko|||liquid nitrogen,OSD-457|Cerebrum|3ec2dbad,6,6,0,0,model_std,0.7293034298969153,0.855,0.34723473832990615,0.9549223065170344,within-condition sample splits,12,400,-0.6643356643356644
OSD-457,mouse,actual_flight,brain,Cerebrum,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Cerebrum|0f84cf73,6,6,0,0,raw,0.5534487906520401,0.49,-0.005671763915302116,0.9234957663624715,within-condition sample splits,12,400,-0.7272727272727274
OSD-457,mouse,actual_flight,brain,Cerebrum,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Cerebrum|0f84cf73,6,6,0,0,PCA8_descriptive,0.5816414891643464,0.58,0.047460302749028654,0.9221342213604625,within-condition sample splits,12,400,-0.7622377622377624
OSD-457,mouse,actual_flight,brain,Cerebrum,|||c57bl/6ncrl|male|12 {week}|wild type|||liquid nitrogen,OSD-457|Cerebrum|0f84cf73,6,6,0,0,model_mean,0.3766753877852122,0.27,-0.30834853530072914,0.7014219554540946,within-condition sample splits,12,400,-0.35664335664335667
