id,source_nonzero,source_total,coverage
OSD-457:GSM4614051,13557,6764873.0,1.0
OSD-457:GSM4614037,14017,6434249.0,1.0
OSD-457:GSM4614032,13831,6737545.0,1.0
OSD-457:GSM4614039,13890,6374227.0,1.0
OSD-457:GSM4614029,13874,6163563.0,1.0
OSD-457:GSM4614030,13861,6162094.0,1.0
OSD-457:GSM4614040,13881,5887044.0,1.0
OSD-457:GSM4614047,13614,6881021.0,1.0
OSD-457:GSM4614048,13641,7134351.0,1.0
OSD-457:GSM4614050,13654,6762556.0,1.0
OSD-457:GSM4614043,13590,6878266.0,1.0
OSD-457:GSM4614046,13505,6790876.0,1.0
OSD-457:GSM4614045,13660,7504368.0,1.0
OSD-457:GSM4614034,13923,6746812.0,1.0
OSD-457:GSM4614038,13734,7003813.0,1.0
OSD-457:GSM4614033,13918,6485512.0,1.0
OSD-457:GSM4614031,13850,7105146.0,1.0
OSD-457:GSM4614036,13709,6689300.0,1.0
OSD-457:GSM4614035,13689,6810533.0,1.0
OSD-457:GSM4613982,13135,13009085.0,1.0
OSD-457:GSM4613991,13684,12781307.0,1.0
OSD-457:GSM4613989,13465,12919491.0,1.0
OSD-457:GSM4613981,13466,12843018.0,1.0
OSD-457:GSM4613992,13172,12728422.0,1.0
OSD-457:GSM4613984,12918,12665772.0,1.0
OSD-457:GSM4614003,13198,12948184.0,1.0
OSD-457:GSM4614004,13080,13072783.0,1.0
OSD-457:GSM4613996,13164,12585575.0,1.0
OSD-457:GSM4613993,13176,13145978.0,1.0
OSD-457:GSM4614001,13064,12942402.0,1.0
OSD-457:GSM4613994,12973,12963958.0,1.0
OSD-457:GSM4613983,13081,12651291.0,1.0
OSD-457:GSM4613985,13085,12852036.0,1.0
OSD-457:GSM4613990,13190,12988467.0,1.0
OSD-457:GSM4613988,12907,12973030.0,1.0
OSD-457:GSM4613987,13137,12787592.0,1.0
OSD-457:GSM4613986,13010,13021459.0,1.0
OSD-457:GSM4613995,13328,12848511.0,1.0
OSD-457:GSM4613999,12990,13045921.0,1.0
OSD-457:GSM4614000,13009,13055997.0,1.0
OSD-457:GSM4613998,13027,12937564.0,1.0
OSD-457:GSM4614002,13145,13005724.0,1.0
OSD-457:GSM4613997,13103,12911292.0,1.0
OSD-463:RR23_LVR_GC_G2,12949,66721354.0,1.0
OSD-463:RR23_LVR_GC_G7,12695,36806410.0,1.0
OSD-463:RR23_LVR_GC_G3,12982,43373290.0,1.0
OSD-463:RR23_LVR_GC_G6,12905,58708139.0,1.0
OSD-463:RR23_LVR_GC_G8,12802,42093662.0,1.0
OSD-463:RR23_LVR_GC_G5,13033,53273259.0,1.0
OSD-463:RR23_LVR_FLT_F8_techrep1,12756,47718170.0,1.0
OSD-463:RR23_LVR_FLT_F3,12749,47955350.0,1.0
OSD-463:RR23_LVR_FLT_F1,12743,57749271.0,1.0
OSD-463:RR23_LVR_FLT_F4,12740,43729446.0,1.0
OSD-463:RR23_LVR_FLT_F5,13134,60986850.0,1.0
OSD-463:RR23_LVR_FLT_F7_techrep1,12835,59705813.0,1.0
OSD-464:RR23_LNG_GC_G1,14392,52537227.0,1.0
OSD-464:RR23_LNG_GC_G3,14094,42104857.0,1.0
OSD-464:RR23_LNG_GC_G6,14223,39966674.0,1.0
OSD-464:RR23_LNG_GC_G8,14204,33508021.0,1.0
OSD-464:RR23_LNG_GC_G5,14248,45304688.0,1.0
OSD-464:RR23_LNG_GC_G4,14388,45135068.0,1.0
OSD-464:RR23_LNG_FLT_F1,14021,27877490.0,1.0
OSD-464:RR23_LNG_FLT_F3,14179,33611057.0,1.0
OSD-464:RR23_LNG_FLT_F5,14327,40687087.0,1.0
OSD-464:RR23_LNG_FLT_F4,14478,80009805.0,1.0
OSD-464:RR23_LNG_FLT_F6,13948,36615824.0,1.0
OSD-464:RR23_LNG_FLT_F2,14314,47255185.0,1.0
OSD-48:Mmus_C57-6J_LVR_GC_C_Rep1_M36,12690,17790010.0,1.0
OSD-48:Mmus_C57-6J_LVR_GC_C_Rep4_M39,12723,16892084.0,1.0
OSD-48:Mmus_C57-6J_LVR_GC_C_Rep3_M38,12689,21501123.0,1.0
OSD-48:Mmus_C57-6J_LVR_GC_C_Rep5_M40,12570,17524031.0,1.0
OSD-48:Mmus_C57-6J_LVR_GC_C_Rep2_M37,12517,15181274.0,1.0
OSD-48:Mmus_C57-6J_LVR_FLT_C_Rep1_M25,12451,17552615.0,1.0
OSD-48:Mmus_C57-6J_LVR_FLT_C_Rep5_M30,12480,15780469.0,1.0
OSD-48:Mmus_C57-6J_LVR_FLT_C_Rep3_M27,12517,17399668.0,1.0
OSD-48:Mmus_C57-6J_LVR_FLT_C_Rep2_M26,12684,17041603.0,1.0
OSD-48:Mmus_C57-6J_LVR_FLT_C_Rep4_M28,12605,16750675.0,1.0
OSD-562:RRRM2_HPC_GC_LAR_OLD_GO15,13945,10725817.0,1.0
OSD-562:RRRM2_HPC_GC_LAR_OLD_GO13,14412,29840322.0,1.0
OSD-562:RRRM2_HPC_GC_LAR_OLD_GO12,14152,19816071.0,1.0
OSD-562:RRRM2_HPC_FLT_LAR_OLD_FO5,14274,24518324.0,1.0
OSD-562:RRRM2_HPC_FLT_LAR_OLD_FO2,13691,11440416.0,1.0
OSD-562:RRRM2_HPC_FLT_LAR_OLD_FO3,14208,21572027.0,1.0
OSD-562:RRRM2_HPC_GC_LAR_YNG_GY1,14286,24092925.0,1.0
OSD-562:RRRM2_HPC_GC_LAR_YNG_GY5,13998,16741937.0,1.0
OSD-562:RRRM2_HPC_GC_LAR_YNG_GY4,14013,10023767.0,1.0
OSD-562:RRRM2_HPC_FLT_LAR_YNG_FY7,14174,24761583.0,1.0
OSD-562:RRRM2_HPC_FLT_LAR_YNG_FY6,14145,22435430.0,1.0
OSD-562:RRRM2_HPC_FLT_LAR_YNG_FY10,14189,26123964.0,1.0
OSD-564:RR10_HPC_GC_WT_G1,14081,18870233.0,1.0
OSD-564:RR10_HPC_GC_WT_G5,13836,11383346.0,1.0
OSD-564:RR10_HPC_GC_WT_G9,14084,52354653.0,1.0
OSD-564:RR10_HPC_GC_WT_G3,13979,14543112.0,1.0
OSD-564:RR10_HPC_GC_WT_G7,14352,27376299.0,1.0
OSD-564:RR10_HPC_FLT_WT_F1,14351,65928616.0,1.0
OSD-564:RR10_HPC_FLT_WT_F9,14254,32916862.0,1.0
