contrast_a,contrast_b,study_a,study_b,species,setting,tissue,representation,response_cosine
OSD-104|Soleus-both sides|8d0b8dc2,OSD-99|Extensor digitorum longus- both sides|2664dccf,OSD-104,OSD-99,mouse,actual_flight,skeletal muscle,raw,-0.14381939445974468
OSD-104|Soleus-both sides|8d0b8dc2,OSD-99|Extensor digitorum longus- both sides|2664dccf,OSD-104,OSD-99,mouse,actual_flight,skeletal muscle,model_mean,-0.7829357212002132
OSD-104|Soleus-both sides|8d0b8dc2,OSD-99|Extensor digitorum longus- both sides|2664dccf,OSD-104,OSD-99,mouse,actual_flight,skeletal muscle,model_std,-0.05925289297688334
OSD-105|Left tibialis anterior|f829a3c1,OSD-326|Quadriceps femoris|6a69abe9,OSD-105,OSD-326,mouse,actual_flight,skeletal muscle,raw,0.13741535527081655
OSD-105|Left tibialis anterior|f829a3c1,OSD-326|Quadriceps femoris|6a69abe9,OSD-105,OSD-326,mouse,actual_flight,skeletal muscle,model_mean,0.1290906631439447
OSD-105|Left tibialis anterior|f829a3c1,OSD-326|Quadriceps femoris|6a69abe9,OSD-105,OSD-326,mouse,actual_flight,skeletal muscle,model_std,0.25448904254320337
OSD-105|Left tibialis anterior|f829a3c1,OSD-401|Gastrocnemius|344e21b7,OSD-105,OSD-401,mouse,actual_flight,skeletal muscle,raw,-0.08082291466409436
OSD-105|Left tibialis anterior|f829a3c1,OSD-401|Gastrocnemius|344e21b7,OSD-105,OSD-401,mouse,actual_flight,skeletal muscle,model_mean,-0.4718465395704779
OSD-105|Left tibialis anterior|f829a3c1,OSD-401|Gastrocnemius|344e21b7,OSD-105,OSD-401,mouse,actual_flight,skeletal muscle,model_std,-0.018382742924540715
OSD-105|Left tibialis anterior|f829a3c1,OSD-401|Quadriceps femoris|344e21b7,OSD-105,OSD-401,mouse,actual_flight,skeletal muscle,raw,0.066544180460062
OSD-105|Left tibialis anterior|f829a3c1,OSD-401|Quadriceps femoris|344e21b7,OSD-105,OSD-401,mouse,actual_flight,skeletal muscle,model_mean,-0.23697386704237763
OSD-105|Left tibialis anterior|f829a3c1,OSD-401|Quadriceps femoris|344e21b7,OSD-105,OSD-401,mouse,actual_flight,skeletal muscle,model_std,-0.0339889699625559
OSD-105|Left tibialis anterior|f829a3c1,OSD-419|Right gastrocnemius|2664dccf,OSD-105,OSD-419,mouse,actual_flight,skeletal muscle,raw,0.13480334253822326
OSD-105|Left tibialis anterior|f829a3c1,OSD-419|Right gastrocnemius|2664dccf,OSD-105,OSD-419,mouse,actual_flight,skeletal muscle,model_mean,0.37524874809437225
OSD-105|Left tibialis anterior|f829a3c1,OSD-419|Right gastrocnemius|2664dccf,OSD-105,OSD-419,mouse,actual_flight,skeletal muscle,model_std,0.04925970923463321
OSD-105|Left tibialis anterior|f829a3c1,OSD-576|Right tibialis anterior|52cb5fea,OSD-105,OSD-576,mouse,actual_flight,skeletal muscle,raw,-0.07544554750084287
OSD-105|Left tibialis anterior|f829a3c1,OSD-576|Right tibialis anterior|52cb5fea,OSD-105,OSD-576,mouse,actual_flight,skeletal muscle,model_mean,0.23489534489365177
OSD-105|Left tibialis anterior|f829a3c1,OSD-576|Right tibialis anterior|52cb5fea,OSD-105,OSD-576,mouse,actual_flight,skeletal muscle,model_std,-0.09890655256655244
OSD-105|Left tibialis anterior|f829a3c1,OSD-665|Right extensor digitorum longus|52cb5fea,OSD-105,OSD-665,mouse,actual_flight,skeletal muscle,raw,-0.15437338599670342
OSD-105|Left tibialis anterior|f829a3c1,OSD-665|Right extensor digitorum longus|52cb5fea,OSD-105,OSD-665,mouse,actual_flight,skeletal muscle,model_mean,-0.5329545188734657
OSD-105|Left tibialis anterior|f829a3c1,OSD-665|Right extensor digitorum longus|52cb5fea,OSD-105,OSD-665,mouse,actual_flight,skeletal muscle,model_std,-0.1669602724225093
OSD-105|Left tibialis anterior|f829a3c1,OSD-666|Right quadriceps femoris|52cb5fea,OSD-105,OSD-666,mouse,actual_flight,skeletal muscle,raw,-0.06153273047118602
OSD-105|Left tibialis anterior|f829a3c1,OSD-666|Right quadriceps femoris|52cb5fea,OSD-105,OSD-666,mouse,actual_flight,skeletal muscle,model_mean,0.560848893941636
OSD-105|Left tibialis anterior|f829a3c1,OSD-666|Right quadriceps femoris|52cb5fea,OSD-105,OSD-666,mouse,actual_flight,skeletal muscle,model_std,0.10712112904367722
OSD-105|Left tibialis anterior|f829a3c1,OSD-770|Right soleus|df447f03,OSD-105,OSD-770,mouse,actual_flight,skeletal muscle,raw,-0.055940336252684325
OSD-105|Left tibialis anterior|f829a3c1,OSD-770|Right soleus|df447f03,OSD-105,OSD-770,mouse,actual_flight,skeletal muscle,model_mean,-0.6518947885375267
OSD-105|Left tibialis anterior|f829a3c1,OSD-770|Right soleus|df447f03,OSD-105,OSD-770,mouse,actual_flight,skeletal muscle,model_std,0.16233084576407186
OSD-105|Left tibialis anterior|f829a3c1,OSD-99|Extensor digitorum longus- both sides|2664dccf,OSD-105,OSD-99,mouse,actual_flight,skeletal muscle,raw,0.6179827416814426
OSD-105|Left tibialis anterior|f829a3c1,OSD-99|Extensor digitorum longus- both sides|2664dccf,OSD-105,OSD-99,mouse,actual_flight,skeletal muscle,model_mean,0.27241867564537037
