contrast,study,species,tissue,setting,source,role,pathway,n_genes,n_source_genes,n_canonical_genes,observed_canonical_fraction,source_set_fraction,status,zscore_shift,mean_log_expression_shift,background_centered_shift,rank_shift,leave_one_min,leave_one_max,leave_one_sign_retention,genes_agreeing_fraction,excluding_MYH1_zscore_shift,passes_primary_checks,passes_primary_and_source_checks
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,p53 Pathway,186,200,186,1.0,0.93,ok,0.3215439919462557,0.1603161565972808,0.1599489137256964,0.0278982575676921,-0.2896234649679289,0.8359885008768237,0.8,0.7580645161290323,0.3215439919462557,False,False
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,0.1862673251585581,0.0322032121285413,0.0318359692569569,0.0024700064346058,0.063875118703385,0.2405210649534808,1.0,0.6509433962264151,0.1862673251585581,True,True
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,Muscle contraction,192,204,192,1.0,0.9411764705882352,ok,-0.1522369909042442,-0.0010184681199865,-0.0013857109915709,-0.0005721718005134,-0.3824824119184308,0.0812804371235812,0.8,0.5677083333333334,-0.1522369909042442,False,False
GSE157937|microgravity_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_ground,NCBI,primary,TNF-alpha Signaling via NF-kB,184,200,184,1.0,0.92,ok,-0.4357406341773757,-0.1503315387307195,-0.1075890362251938,-0.0180536423207539,-0.5952109222057599,-0.1223375751237061,1.0,0.7391304347826086,-0.4357406341773757,True,True
GSE157937|microgravity_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_ground,NCBI,primary,DNA Repair,137,150,137,1.0,0.9133333333333332,ok,-0.0109793493235461,-0.0048668448906159,0.0378756576149097,0.0055624613556246,-0.11073350312267,0.1752745346522237,0.6666666666666666,0.4963503649635036,-0.0109793493235461,False,False
GSE157937|microgravity_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_ground,NCBI,primary,Myogenesis,190,200,190,1.0,0.95,ok,-0.4527513761331426,-0.1128723509380953,-0.0701298484325696,-0.0113595043714897,-0.5318657680838645,-0.3645316089021753,1.0,0.7368421052631579,-0.4498390262621267,True,True
GSE157937|microgravity_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_ground,NCBI,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566372,ok,-0.1399837637641639,-0.0502148669919151,-0.0074723644863894,-0.0004109234452857,-0.2294528099621905,0.0520229477692599,0.8333333333333334,0.5980392156862745,-0.1399837637641639,False,False
GSE157937|microgravity_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_ground,NCBI,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,-0.2788017880833457,-0.0807638207306689,-0.0380213182251432,-0.0056706631115089,-0.3659950991574038,-0.1903911791095638,1.0,0.6497175141242938,-0.2788017880833457,True,True
GSE157937|microgravity_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_ground,NCBI,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,0.4705100915606207,0.075621172032088,0.1183636745376137,0.0190876717729574,0.2957183972799174,0.6597829640212917,1.0,0.7225433526011561,0.4705100915606207,True,True
GSE157937|microgravity_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_ground,NCBI,primary,Reactive Oxygen Species Pathway,44,49,44,1.0,0.8979591836734694,ok,0.2738212342740282,0.0327477639145925,0.0754902664201182,0.0097199719971996,0.1570815674222534,0.3928714814678764,1.0,0.6590909090909091,0.2738212342740282,True,True
GSE157937|microgravity_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_ground,NCBI,primary,p53 Pathway,186,200,186,1.0,0.93,ok,-0.2206797553960186,-0.0734278512150585,-0.0306853487095328,-0.0047149768740314,-0.4073098965488206,0.3051001076848251,0.8333333333333334,0.6881720430107527,-0.2206797553960186,False,False
GSE157937|microgravity_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_ground,NCBI,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,0.0802967865348428,-0.007921278382998,0.0348212241225276,0.0020925960520579,0.003147034344459,0.1855558770884594,1.0,0.5283018867924528,0.0802967865348428,True,True
GSE157937|microgravity_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_ground,NCBI,primary,Muscle contraction,192,204,192,1.0,0.9411764705882352,ok,-0.286141145995182,-0.0628646393532916,-0.0201221368477659,-0.0014125527136046,-0.5504148795808723,-0.155200164845886,1.0,0.6302083333333334,-0.286141145995182,True,False
GSE224805|microgravity_vs_onboard_1g|author,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,author,primary,TNF-alpha Signaling via NF-kB,183,200,184,0.9945652173913044,0.915,ok,0.8735146810559452,0.5556739972860218,0.6400571523511132,0.0858183899476818,0.829016466937422,0.9606492681832196,1.0,0.7595628415300546,0.8735146810559452,True,True
GSE224805|microgravity_vs_onboard_1g|author,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,author,primary,DNA Repair,137,150,137,1.0,0.9133333333333332,ok,-0.5713561722189382,-0.1771188673456798,-0.0927357122805885,-0.0108816492234754,-0.6365427640163426,-0.5090558695082403,1.0,0.7007299270072993,-0.5713561722189382,True,True
GSE224805|microgravity_vs_onboard_1g|author,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,author,primary,Myogenesis,190,200,190,1.0,0.95,ok,-0.1992917348069769,-0.0289144738479274,0.0554686812171638,0.0076013361018327,-0.2693626605315597,-0.0779289052767538,1.0,0.5,-0.2003461884302943,False,False
GSE224805|microgravity_vs_onboard_1g|author,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,author,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566372,ok,-0.0113465915908995,0.1013329946892511,0.1857161497543424,0.0273677179892494,-0.0580932220291071,0.0769276459286772,0.6666666666666666,0.5392156862745098,-0.0113465915908995,False,False
GSE224805|microgravity_vs_onboard_1g|author,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,author,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,0.3753625147251208,0.2639038954526467,0.348287050517738,0.0449142230402223,0.2744203049923198,0.4897840581118234,1.0,0.5875706214689266,0.3753625147251208,True,True
GSE224805|microgravity_vs_onboard_1g|author,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,author,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,-0.7171050711537574,-0.1184432678470148,-0.0340601127819235,-0.0011311805945896,-0.8057677331884675,-0.6274255126870363,1.0,0.7225433526011561,-0.7171050711537574,True,False
GSE224805|microgravity_vs_onboard_1g|author,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,author,primary,Reactive Oxygen Species Pathway,43,49,44,0.9772727272727272,0.8775510204081632,ok,-0.3342114914863702,-0.0458228413102235,0.0385603137548677,0.006524812031613,-0.3913250268649602,-0.2720742139967619,1.0,0.5581395348837209,-0.3342114914863702,False,False
GSE224805|microgravity_vs_onboard_1g|author,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,author,primary,p53 Pathway,186,200,186,1.0,0.93,ok,-0.0801158923237812,0.0918301256326796,0.1762132806977709,0.0220532493813075,-0.1325690875350711,0.0282612828653589,0.8333333333333334,0.5268817204301075,-0.0801158923237812,False,False
