contrast,gene,log1p_expression_shift
GSE234465|YA,SLC25A5,0.22002792358398438
GSE234465|YA,SUCLA2,-0.11802951494852731
GSE234465|YA,SUCLG1,-0.018813769022623994
GSE234465|YA,SUPV3L1,0.021868069966634263
GSE234465|YA,SURF1,0.34688568115234375
GSE234465|YA,TCIRG1,0.19614688555399562
GSE234465|YA,TIMM10,0.04583795865376805
GSE234465|YA,TIMM13,0.16537745793660452
GSE234465|YA,TIMM17A,0.23646148045857718
GSE234465|YA,TIMM50,0.2477181752522788
GSE234465|YA,TIMM8B,0.022418498992919922
GSE234465|YA,TIMM9,-0.027867555618286133
GSE234465|YA,TOMM22,0.17422326405843158
GSE234465|YA,TOMM70,-0.17410628000895212
GSE234465|YA,UQCR10,0.0670007069905596
GSE234465|YA,UQCR11,0.15526326497395893
GSE234465|YA,UQCRC1,0.2132403055826826
GSE234465|YA,UQCRC2,0.021540959676107363
GSE234465|YA,UQCRQ,0.015732924143473603
GSE234465|YA,VDAC1,0.2651481628417969
GSE234465|YA,VDAC2,0.10239664713541607
GSE234465|YA,VDAC3,0.17598644892374615
GSE298393|OS,ABCB7,0.27496496836344386
GSE298393|OS,ACAA2,0.1613327662150068
GSE298393|OS,ACADM,0.37656752268473337
GSE298393|OS,ACADSB,0.15997211138407375
GSE298393|OS,ACADVL,0.2367402712504063
GSE298393|OS,ACAT1,0.22942582766215036
GSE298393|OS,ACO2,0.26548115412394147
GSE298393|OS,AFG3L2,0.20019253094991019
GSE298393|OS,AIFM1,0.21734913190205907
GSE298393|OS,ALAS1,0.1123951276143389
GSE298393|OS,ALDH6A1,0.5393191576004026
GSE298393|OS,ATP1B1,-0.11000458399454738
GSE298393|OS,ATP5PB,0.31148274739583304
GSE298393|OS,ATP6AP1,0.060258706410725615
GSE298393|OS,ATP6V0B,-0.2519270579020185
GSE298393|OS,ATP6V0C,-0.045422395070393584
GSE298393|OS,ATP6V0E1,0.09340937932332327
GSE298393|OS,ATP6V1C1,0.2592247327168784
GSE298393|OS,ATP6V1D,0.24831422170003314
GSE298393|OS,ATP6V1E1,0.09945042928059866
GSE298393|OS,ATP6V1F,-0.06959199905395508
GSE298393|OS,ATP6V1G1,0.1151596705118818
GSE298393|OS,ATP6V1H,-0.09648474057515433
GSE298393|OS,BAX,0.21268256505330463
GSE298393|OS,BCKDHA,0.3832748730977378
GSE298393|OS,BDH2,0.15285301208496094
GSE298393|OS,CASP7,0.3299500147501626
GSE298393|OS,COX10,0.47431906064351415
GSE298393|OS,COX11,0.4932363033294678
GSE298393|OS,COX15,0.3532979488372803
GSE298393|OS,COX17,0.09596586227416992
GSE298393|OS,COX4I1,0.11933469772338867
GSE298393|OS,COX5A,0.06129709879557321
GSE298393|OS,COX6A1,0.1047968864440918
GSE298393|OS,COX6B1,0.05381202697753906
GSE298393|OS,COX6C,0.24890836079915335
GSE298393|OS,COX7A2,0.20735629399617483
GSE298393|OS,COX7A2L,0.2364641825358076
GSE298393|OS,COX7C,0.05129543940226178
GSE298393|OS,COX8A,-0.07513761520385742
GSE298393|OS,CPT1A,0.07451224327087402
GSE298393|OS,CYB5A,0.42425370216369673
GSE298393|OS,CYB5R3,-0.01988363265991211
GSE298393|OS,CYC1,0.14862902959187885
GSE298393|OS,DECR1,0.040060997009277344
GSE298393|OS,DLAT,0.3394428888956704
GSE298393|OS,DLD,0.4638056755065918
GSE298393|OS,DLST,0.3884083429972329
GSE298393|OS,ECH1,0.35088221232096384
GSE298393|OS,ECHS1,0.15750710169474313
GSE298393|OS,ECI1,0.04066197077433209
GSE298393|OS,ETFA,0.5011491775512695
GSE298393|OS,ETFB,0.04097970326741507
GSE298393|OS,ETFDH,0.1832433541615801
GSE298393|OS,FDX1,0.08760960896809888
GSE298393|OS,FH,0.17391395568847656
GSE298393|OS,FXN,0.24615208307902003
GSE298393|OS,GOT2,0.3023757139841714
GSE298393|OS,GPI,-0.06931098302205374
GSE298393|OS,GPX4,0.051665941874186494
GSE298393|OS,GRPEL1,0.2532863616943364
GSE298393|OS,HADHA,0.0955203374226894
GSE298393|OS,HADHB,0.2595094045003261
GSE298393|OS,HCCS,0.3709465662638345
GSE298393|OS,HSD17B10,0.07152334849039743
GSE298393|OS,HSPA9,0.3721731503804522
GSE298393|OS,HTRA2,-0.11033876736958836
GSE298393|OS,IDH1,0.39638733863830566
GSE298393|OS,IDH2,0.06182463963826468
GSE298393|OS,IDH3A,0.3639280001322427
GSE298393|OS,IDH3B,0.07523107528686523
GSE298393|OS,IDH3G,0.019463698069254853
GSE298393|OS,IMMT,0.31182074546813965
GSE298393|OS,ISCU,-0.12356011072794626
GSE298393|OS,LDHA,0.11704047520955374
GSE298393|OS,LDHB,0.2696220080057774
GSE298393|OS,LRPPRC,0.3916679223378501
GSE298393|OS,MAOB,-0.00207194841156403
GSE298393|OS,MDH1,0.2486883799235029
GSE298393|OS,MDH2,0.2853701909383135
GSE298393|OS,MFN2,0.4685635566711426
GSE298393|OS,MGST3,-0.033349037170410156
GSE298393|OS,MRPL11,-0.00962972640991211
GSE298393|OS,MRPL15,0.2209943135579424
GSE298393|OS,MRPL34,0.03203996022542288
GSE298393|OS,MRPL35,0.22180652618408203
GSE298393|OS,MRPS11,0.11067676544189453
GSE298393|OS,MRPS12,0.2370907465616865
GSE298393|OS,MRPS15,0.0014828046162929098
GSE298393|OS,MRPS22,0.2676280339558921
GSE298393|OS,MRPS30,0.18565042813618993
GSE298393|OS,MTRF1,0.309824307759603
GSE298393|OS,MTRR,0.37478144963582327
GSE298393|OS,MTX2,0.2658350467681885
GSE298393|OS,NDUFA1,0.08215665817260742
GSE298393|OS,NDUFA2,0.17975902557373047
GSE298393|OS,NDUFA3,-0.10248740514119525
GSE298393|OS,NDUFA4,0.05782826741536429
GSE298393|OS,NDUFA5,0.3689597447713222
GSE298393|OS,NDUFA6,0.13349103927612305
GSE298393|OS,NDUFA7,0.029957453409831025
GSE298393|OS,NDUFA8,0.1660148302714024
GSE298393|OS,NDUFA9,0.10011100769042969
GSE298393|OS,NDUFAB1,0.19583892822265625
GSE298393|OS,NDUFB1,0.1051953633626308
GSE298393|OS,NDUFB2,-0.020556926727294922
GSE298393|OS,NDUFB3,0.20954243342081735
GSE298393|OS,NDUFB4,-0.056367715199788115
GSE298393|OS,NDUFB5,0.29114675521850586
GSE298393|OS,NDUFB6,0.23191722234090228
GSE298393|OS,NDUFB7,-0.16277567545572946
GSE298393|OS,NDUFB8,-0.010513941446939512
GSE298393|OS,NDUFC1,-0.09196058909098337
GSE298393|OS,NDUFC2,0.11844730377197266
GSE298393|OS,NDUFS1,0.6028045018514003
GSE298393|OS,NDUFS2,0.2612737019856777
GSE298393|OS,NDUFS3,0.09867588678995709
GSE298393|OS,NDUFS4,0.08788474400838275
GSE298393|OS,NDUFS6,-0.0034726460774736623
GSE298393|OS,NDUFS7,0.1308301289876308
GSE298393|OS,NDUFS8,0.13006877899169922
GSE298393|OS,NDUFV1,0.1950076421101894
GSE298393|OS,NDUFV2,0.04189141591390033
GSE298393|OS,NQO2,-0.2525103886922202
GSE298393|OS,OAT,0.20639594395955418
GSE298393|OS,OGDH,0.07967265446980765
GSE298393|OS,OPA1,0.5279783407847085
GSE298393|OS,OXA1L,0.15087620417277048
GSE298393|OS,PDHA1,0.34482224782307913
GSE298393|OS,PDHB,0.22469043731689453
GSE298393|OS,PDHX,0.23564680417378714
GSE298393|OS,PDK4,0.17362598578135158
GSE298393|OS,PDP1,0.25075451532999704
GSE298393|OS,PHB2,0.1736919085184736
GSE298393|OS,PHYH,0.07487996419270893
GSE298393|OS,PMPCA,0.28396073977152536
GSE298393|OS,POLR2F,0.08821392059326172
GSE298393|OS,POR,0.012747446695963838
GSE298393|OS,PRDX3,0.41497262318929096
GSE298393|OS,RETSAT,0.06936208407084132
GSE298393|OS,RHOT1,0.3438562552134199
GSE298393|OS,RHOT2,0.4162236849466958
GSE298393|OS,SDHA,0.4402785301208496
GSE298393|OS,SDHB,0.18691142400105853
GSE298393|OS,SDHC,0.33414427439371774
GSE298393|OS,SDHD,0.3957651456197109
GSE298393|OS,SLC25A11,0.19402726491292377
GSE298393|OS,SLC25A12,0.19737744331359863
GSE298393|OS,SLC25A20,0.2422173023223877
GSE298393|OS,SLC25A3,0.06163930892944336
GSE298393|OS,SLC25A4,0.21132691701253226
GSE298393|OS,SLC25A5,0.2590219974517822
GSE298393|OS,SUCLA2,0.3972276051839194
GSE298393|OS,SUCLG1,0.27947107950846384
GSE298393|OS,SUPV3L1,0.3734285831451416
GSE298393|OS,SURF1,0.040159543355305694
GSE298393|OS,TCIRG1,0.00371273358662938
GSE298393|OS,TIMM10,-0.019374211629231475
GSE298393|OS,TIMM13,0.25586652755737305
GSE298393|OS,TIMM17A,0.20387490590413382
GSE298393|OS,TIMM50,0.23054655392964696
GSE298393|OS,TIMM8B,-0.07866716384887695
GSE298393|OS,TIMM9,0.14534807205200195
GSE298393|OS,TOMM22,0.09461116790771484
GSE298393|OS,TOMM70,0.5610524813334146
GSE298393|OS,UQCR10,0.25316572189331055
GSE298393|OS,UQCR11,0.03943506876627545
GSE298393|OS,UQCRC1,0.06743542353312115
GSE298393|OS,UQCRC2,0.4162864685058594
GSE298393|OS,UQCRQ,0.10396480560302734
GSE298393|OS,VDAC1,0.10366264979044626
GSE298393|OS,VDAC2,0.1824644406636562
GSE298393|OS,VDAC3,0.1975413958231611
GSE298393|YA,ABCB7,0.1513670285542803
GSE298393|YA,ACAA2,0.04682652155558298
GSE298393|YA,ACADM,0.21909793217976858
GSE298393|YA,ACADSB,0.11484356721242284
GSE298393|YA,ACADVL,0.05868736902872751
GSE298393|YA,ACAT1,0.43632984161377
GSE298393|YA,ACO2,0.059805075327555635
GSE298393|YA,AFG3L2,-0.03763882319132428
GSE298393|YA,AIFM1,0.16289321581522653
GSE298393|YA,ALAS1,-0.1293629805246992
GSE298393|YA,ALDH6A1,0.18896488348642992
GSE298393|YA,ATP1B1,-0.14904189109802246
GSE298393|YA,ATP5PB,0.2797228495279951
GSE298393|YA,ATP6AP1,-0.09472306569417288
GSE298393|YA,ATP6V0B,-0.05617062250773053
GSE298393|YA,ATP6V0C,-0.062458674112956025
GSE298393|YA,ATP6V0E1,0.08316373825073242
GSE298393|YA,ATP6V1C1,0.06902956962585449
GSE298393|YA,ATP6V1D,0.07807413736979196
GSE298393|YA,ATP6V1E1,0.09708611170450787
GSE298393|YA,ATP6V1F,-0.1118459701538086
