training_study,gene,train_weight_times_effect,test_weight_times_effect,train_effect_log1pTPM,test_effect_log1pTPM
GSE234465,ACTN3,0.002487768101939556,-0.0006432526433773515,-1.4943062067031856,0.38637701670328806
GSE234465,ACTN4,0.0008544930651901099,-0.00012980137524988553,-0.3434767723083496,0.05217568079630519
GSE234465,ACTR10,0.0015069380816992632,-0.00024720732082205533,-0.21417681376139355,0.03513487180074115
GSE234465,ACTR1A,0.00032737859289235166,0.0010033217731796873,0.04029639561970999,0.12349692980448435
GSE234465,ACTR1B,0.0006820067576867738,0.004784341066096456,0.056903441747029326,0.39918295542399074
GSE234465,ACTR2,0.0017593293493052334,-0.0022900712173848804,-0.272092342376709,0.3541752099990845
GSE234465,ACTR3,0.0007568620321930724,-0.0007812058695717737,-0.18149511019388864,0.18733274936676025
GSE234465,ACTR5,0.0007962629930936197,-0.0023716546697962275,-0.06934539477030444,0.20654398202896118
GSE234465,ACTR6,0.0022218915435054773,-0.002559278782097881,-0.45716238021850586,0.5265810489654541
GSE234465,ACTR8,0.0006084125078161281,-0.0005950423342165804,-0.15229686101277684,0.1489500602086382
GSE234465,ACTRT1,0.0,0.0,0.0,0.0
GSE234465,ACTRT2,0.0,0.0,0.0,0.0
GSE234465,ACTRT3,0.0006893258414006193,-0.00033415416481134217,-0.12309059500694274,0.05966878434022272
GSE234465,ACVR1,0.0021541228680653363,-0.0017221726405983913,-0.23227838675181056,0.18570133050282767
GSE234465,ACVR1B,0.0024816085138885152,-0.0006309568521350545,-0.3068209489186602,0.0780102014541626
GSE234465,ACVR1C,0.0001316728106420188,7.85053209161466e-05,-0.03905844688415527,-0.023287236690521237
GSE234465,ACVR2A,0.0026421096437373773,-0.0024187971258306023,-0.24779470761617017,0.226850966612498
GSE234465,ACVR2B,0.0031468038618781948,-0.0003000646167050186,-0.376537243525187,0.03590484460194898
GSE234465,ACVRL1,0.000556019988178957,0.0005817729114914205,-0.18770837783813477,-0.19640238086382555
GSE234465,ACY1,0.0027641544695982613,-0.002065246344175372,-0.4801021019617715,0.3587097326914468
GSE234465,ACY3,0.0004741581528134378,-0.0010116487851222638,-0.008275716875990232,0.017656806856393814
GSE234465,ACYP2,6.769894694266739e-05,-0.00031457962572681747,-0.024029254913330078,0.11165777842203807
GSE234465,ADA,0.0014168785284361985,4.812653312954411e-05,-0.177222582201163,-0.006019646922747257
GSE234465,ADAD1,0.0,0.0,0.0,0.0
GSE234465,ADAD2,0.0004741581528134378,-0.0030097336841261014,-0.002804479251305262,0.017801519638548296
GSE234465,ADAM10,0.0008957645347834238,-0.001451086540766703,-0.2566360632578535,0.41573552290598537
GSE234465,ADAM11,0.00022857856287807185,-0.00019484294587381146,0.03359033974508445,-0.028632784572740398
GSE234465,ADAM12,0.002061196852715407,0.0013906113436960047,-0.5788591305414836,-0.3905343015988667
GSE234465,ADAM15,0.0026927619321308375,-0.0007743090190740183,0.2977210283279419,-0.0856102705001831
GSE234465,ADAM17,0.0007882272366901918,-0.0007136317196250526,-0.20175007979075102,0.18265704313913966
GSE234465,ADAM18,0.0,0.0,0.0,0.0
GSE234465,ADAM2,0.0,0.0,0.0,0.0
GSE234465,ADAM21,0.002561549128409091,-0.003351639426670661,-0.16682155430316925,0.21827639080584046
GSE234465,ADAM22,0.002774131796648355,-0.0007670517269458581,-0.7522948781649271,0.20801069587469107
GSE234465,ADAM23,0.0027340589356310606,-0.001781560190173315,-0.5267188946406045,0.3432191610336306
GSE234465,ADAM28,5.411381728790277e-06,4.756359308865637e-05,0.008622766317178801,0.07579020829871297
GSE234465,ADAM29,0.00031337493681623553,-1.2935276353431383e-06,-0.024079269729554653,9.939276302854206e-05
GSE234465,ADAM30,0.0,0.0,0.0,0.0
GSE234465,ADAM32,0.0001454282463931324,-8.86205051867251e-05,-0.06632274637619656,0.040415499980251
GSE234465,ADAM33,-0.00011356023590710965,-9.045559817660664e-05,-0.049159152433276176,-0.03915737320979437
GSE234465,ADAM7,0.0,0.0,0.0,0.00788272467131416
GSE234465,ADAM8,0.0028304654477321256,0.0005851584716411583,0.3274619424094756,0.06769809887434045
GSE234465,ADAM9,0.0011951416174151197,-0.0007572004267378754,-0.16876673698425293,0.10692477226257324
GSE234465,ADAMDEC1,0.0,0.0,0.0,0.027244262397289276
GSE234465,ADAMTS1,0.00036371187517510287,-0.0018523738172421444,-0.10063227017720555,0.512517174084981
GSE234465,ADAMTS10,-4.253999639091205e-06,1.655214516023307e-05,0.030477066834767697,-0.11858506749073666
GSE234465,ADAMTS12,0.0016070729896842907,-0.0008752035239425409,0.24161464969317126,-0.1315820713837943
GSE234465,ADAMTS13,2.7297043794271333e-05,-0.0004454759652630428,-0.015421847502390618,0.2516778906186422
GSE234465,ADAMTS14,0.0026998380136312125,-0.00028012850090741585,-0.776454637447993,0.0805630087852478
GSE234465,ADAMTS15,2.4215969174042084e-05,0.00019773592413479597,0.008674881110588728,0.07083489497502637
GSE234465,ADAMTS16,0.00047338529525289515,-0.0037761107633980623,0.08107606818278629,-0.6467294543981552
GSE234465,ADAMTS17,0.00047485858828730406,-0.00014350085311769445,-0.09526756530006728,0.028789574901262938
GSE234465,ADAMTS18,0.001198443738954637,0.00024197084692127193,0.015423176034043232,0.003114004308978717
GSE234465,ADAMTS19,0.00021540872313843398,-1.4998920521708508e-05,-0.008754991926252844,0.000609610540171464
GSE234465,ADAMTS2,0.0008303348299266324,0.001029939777194955,-0.26552534103393577,-0.32935521999994904
GSE234465,ADAMTS20,0.0021375129436126553,-0.0003848130601737594,-0.028021508517364662,0.005044667671124141
GSE234465,ADAMTS3,0.0005496567461936434,-0.0002727969487020628,0.01749551482498646,-0.008683097393562395
GSE234465,ADAMTS4,0.0007877367966290865,-0.0002702004575197776,-0.4843966960906982,0.16615220904350292
GSE234465,ADAMTS5,0.0021096707267462896,-0.0004972070714317736,-0.7030282119909923,0.1656896471977234
GSE234465,ADAMTS6,0.00045716588531841476,-0.00011316314272433567,-0.1477823033928871,0.03658083515862624
GSE234465,ADAMTS7,0.000510825983106183,-5.414088874468848e-06,-0.27495183547337865,0.0029141306877136226
GSE234465,ADAMTS8,0.0009904873512642629,0.00031958304970482865,-0.08684147273500761,-0.028019603341817856
GSE234465,ADAMTS9,0.003662413446575363,-0.0009217677620555589,-1.1267816027005515,0.28359194596608495
GSE234465,ADAMTSL1,0.0006597021656111854,0.0028611976579095586,-0.18790358801682794,-0.8149576187133788
GSE234465,ADAMTSL2,0.00038959007121272304,0.002386569281835462,0.07680765787760424,0.47051198283831286
GSE234465,ADAMTSL3,0.00046930193996306884,0.0006664657788871887,-0.07244254695251584,-0.10287721905236442
GSE234465,ADAMTSL4,0.0041308759646253865,-0.0008514798027192396,-1.5906151135762534,0.32786669333775853
