id,study,pool,label,route,head,prior_mask_score,matched_mask_score,score_change
GSE298393:GSM9013397,GSE298393,YA,0,harmonized,probe_ncbi,6.086704888005784,4.824668813586527,-1.2620360744192567
GSE298393:GSM9013398,GSE298393,OS,0,harmonized,probe_ncbi,6.398796820526286,5.094914167367392,-1.3038826531588938
GSE298393:GSM9013399,GSE298393,OS,0,harmonized,probe_ncbi,6.962351997425571,5.692328874317013,-1.2700231231085581
GSE298393:GSM9013400,GSE298393,OS,0,harmonized,probe_ncbi,6.4271757452588645,5.1376526748040305,-1.289523070454834
GSE298393:GSM9013404,GSE298393,YA,1,harmonized,probe_ncbi,3.624387444364629,2.464172609967477,-1.1602148343971521
GSE298393:GSM9013405,GSE298393,YA,1,harmonized,probe_ncbi,3.72069588324257,2.483450002377822,-1.237245880864748
GSE298393:GSM9013406,GSE298393,YA,1,harmonized,probe_ncbi,3.460556937398678,2.3580737122622395,-1.1024832251364387
GSE298393:GSM9013410,GSE298393,OS,1,harmonized,probe_ncbi,3.4309761286192497,2.2104079519267543,-1.2205681766924954
GSE298393:GSM9013411,GSE298393,OS,1,harmonized,probe_ncbi,3.5895818274345856,2.3575752234485208,-1.2320066039860649
GSE298393:GSM9013412,GSE298393,OS,1,harmonized,probe_ncbi,2.369823247031377,1.1828142133915662,-1.1870090336398107
GSE234465:GSM7469191,GSE234465,YA,0,harmonized,flight_YA,12.482098007782724,16.61726335183016,4.1351653440474365
GSE234465:GSM7469192,GSE234465,YA,0,harmonized,flight_YA,14.267133896134283,18.304347572346842,4.037213676212559
GSE234465:GSM7469193,GSE234465,YA,0,harmonized,flight_YA,11.276754161764075,15.528896246304157,4.252142084540083
GSE234465:GSM7469194,GSE234465,OS,0,harmonized,flight_YA,16.69597018049967,20.98146895836544,4.285498777865769
GSE234465:GSM7469195,GSE234465,OS,0,harmonized,flight_YA,16.71581121677832,20.913069706570923,4.197258489792603
GSE234465:GSM7469196,GSE234465,OS,0,harmonized,flight_YA,14.934705972429583,18.9803678961041,4.0456619236745155
GSE234465:GSM7469197,GSE234465,YA,1,harmonized,flight_YA,8.469226915435229,12.547627178922767,4.078400263487538
GSE234465:GSM7469198,GSE234465,YA,1,harmonized,flight_YA,11.149978140921348,15.154574386058584,4.004596245137236
GSE234465:GSM7469199,GSE234465,YA,1,harmonized,flight_YA,0.277934248155816,4.479484516406728,4.201550268250912
GSE234465:GSM7469200,GSE234465,OS,1,harmonized,flight_YA,8.672188369245532,12.674306575397395,4.002118206151863
GSE234465:GSM7469201,GSE234465,OS,1,harmonized,flight_YA,6.563227079225044,10.680613224646095,4.117386145421051
GSE234465:GSM7469202,GSE234465,OS,1,harmonized,flight_YA,4.362655514139533,8.549920071433462,4.187264557293929
GSE298393:GSM9013395,GSE298393,YA,0,harmonized,flight_YA,-5.342981959042618,-0.9526776699556194,4.390304289086998
GSE298393:GSM9013396,GSE298393,YA,0,harmonized,flight_YA,-6.305389716571881,-2.1030110438607608,4.20237867271112
GSE298393:GSM9013397,GSE298393,YA,0,harmonized,flight_YA,-6.924122462935202,-2.5464331069276795,4.377689356007522
GSE298393:GSM9013398,GSE298393,OS,0,harmonized,flight_YA,-8.00115624882028,-3.4217393069750415,4.579416941845238
GSE298393:GSM9013399,GSE298393,OS,0,harmonized,flight_YA,-7.9395265200616905,-3.439049387570094,4.500477132491596
GSE298393:GSM9013400,GSE298393,OS,0,harmonized,flight_YA,-6.589320700087228,-2.0471449352437503,4.542175764843478
GSE298393:GSM9013404,GSE298393,YA,1,harmonized,flight_YA,6.2350990469608405,10.300787792381698,4.065688745420857
GSE298393:GSM9013405,GSE298393,YA,1,harmonized,flight_YA,4.844558759942856,9.178734474966632,4.334175715023775
GSE298393:GSM9013406,GSE298393,YA,1,harmonized,flight_YA,7.508545885996455,11.412082287298972,3.9035364013025173
GSE298393:GSM9013410,GSE298393,OS,1,harmonized,flight_YA,5.627726680844944,9.913277004821794,4.2855503239768495
GSE298393:GSM9013411,GSE298393,OS,1,harmonized,flight_YA,4.17448563083849,8.463173634530676,4.288688003692187
GSE298393:GSM9013412,GSE298393,OS,1,harmonized,flight_YA,5.029497020792178,9.19580825056778,4.1663112297756015
GSE234465:GSM7469191,GSE234465,YA,0,harmonized,flight_OS,16.556583881972983,20.377721941672235,3.8211380596992512
GSE234465:GSM7469192,GSE234465,YA,0,harmonized,flight_OS,17.148932242943374,20.9138623875715,3.7649301446281243
GSE234465:GSM7469193,GSE234465,YA,0,harmonized,flight_OS,14.093402601002708,18.0061945595246,3.9127919585218933
GSE234465:GSM7469194,GSE234465,OS,0,harmonized,flight_OS,19.774445422053077,23.69732982311234,3.922884401059264
GSE234465:GSM7469195,GSE234465,OS,0,harmonized,flight_OS,19.214495724482504,23.067296017391982,3.8528002929094782
GSE234465:GSM7469196,GSE234465,OS,0,harmonized,flight_OS,18.451390987270315,22.20845107764694,3.7570600903766262
GSE234465:GSM7469197,GSE234465,YA,1,harmonized,flight_OS,10.819709614105705,14.612446942535826,3.792737328430121
GSE234465:GSM7469198,GSE234465,YA,1,harmonized,flight_OS,13.907578129064404,17.66006860608013,3.7524904770157264
GSE234465:GSM7469199,GSE234465,YA,1,harmonized,flight_OS,3.280151880001995,7.179226608960107,3.8990747289581122
GSE234465:GSM7469200,GSE234465,OS,1,harmonized,flight_OS,11.537577974048418,15.266239763707745,3.728661789659327
GSE234465:GSM7469201,GSE234465,OS,1,harmonized,flight_OS,8.67551679402186,12.487103176421215,3.811586382399355
GSE234465:GSM7469202,GSE234465,OS,1,harmonized,flight_OS,6.5255264375052775,10.389921343282822,3.8643949057775444
GSE298393:GSM9013395,GSE298393,YA,0,harmonized,flight_OS,-0.8235112164181828,3.246112344532321,4.069623560950504
GSE298393:GSM9013396,GSE298393,YA,0,harmonized,flight_OS,-0.8807439243068984,3.064639466343806,3.9453833906507043
GSE298393:GSM9013397,GSE298393,YA,0,harmonized,flight_OS,-4.074472762270943,0.0011522723962116288,4.075625034667155
GSE298393:GSM9013398,GSE298393,OS,0,harmonized,flight_OS,-7.32653107602664,-3.089852692946806,4.236678383079834
GSE298393:GSM9013399,GSE298393,OS,0,harmonized,flight_OS,-7.631823393487593,-3.441743851776664,4.190079541710929
GSE298393:GSM9013400,GSE298393,OS,0,harmonized,flight_OS,-5.036729186557295,-0.8254142332616539,4.211314953295641
GSE298393:GSM9013404,GSE298393,YA,1,harmonized,flight_OS,7.981256567613855,11.817726529524862,3.836469961911007
GSE298393:GSM9013405,GSE298393,YA,1,harmonized,flight_OS,6.288171197290694,10.30133379650988,4.013162599219186
GSE298393:GSM9013406,GSE298393,YA,1,harmonized,flight_OS,10.750437858641362,14.446781298441238,3.6963434397998753
GSE298393:GSM9013410,GSE298393,OS,1,harmonized,flight_OS,7.413268625546834,11.400754886469258,3.9874862609224238
GSE298393:GSM9013411,GSE298393,OS,1,harmonized,flight_OS,5.787938503475743,9.77643283461498,3.9884943311392362
GSE298393:GSM9013412,GSE298393,OS,1,harmonized,flight_OS,6.777443391273664,10.661339629580198,3.8838962383065336
GSE234465:GSM7469191,GSE234465,YA,0,original,probe_original,-16.262219120848044,-18.709608445468348,-2.4473893246203033
GSE234465:GSM7469192,GSE234465,YA,0,original,probe_original,-15.532314053907726,-17.970908593028184,-2.4385945391204586
GSE234465:GSM7469193,GSE234465,YA,0,original,probe_original,-15.495006491589606,-17.994587935833692,-2.499581444244086
GSE234465:GSM7469194,GSE234465,OS,0,original,probe_original,-16.048341148355462,-18.49659982240985,-2.4482586740543866
GSE234465:GSM7469195,GSE234465,OS,0,original,probe_original,-16.440043117472214,-18.884646428079463,-2.444603310607249
GSE234465:GSM7469196,GSE234465,OS,0,original,probe_original,-15.35554470404918,-17.77430705453537,-2.4187623504861904
GSE234465:GSM7469197,GSE234465,YA,1,original,probe_original,-16.062998591161318,-18.5660687832318,-2.5030701920704814
GSE234465:GSM7469198,GSE234465,YA,1,original,probe_original,-15.502518416514704,-17.987158848350305,-2.484640431835601
GSE234465:GSM7469199,GSE234465,YA,1,original,probe_original,-10.609267308858989,-13.048986070367278,-2.4397187615082885
GSE234465:GSM7469200,GSE234465,OS,1,original,probe_original,-13.562367962567919,-15.986683144932272,-2.424315182364353
GSE234465:GSM7469201,GSE234465,OS,1,original,probe_original,-13.170076132069312,-15.629091154558068,-2.4590150224887566
GSE234465:GSM7469202,GSE234465,OS,1,original,probe_original,-13.853933414559606,-16.28974461491623,-2.435811200356625
GSE298393:GSM9013395,GSE298393,YA,0,original,probe_original,-6.752678289626033,-8.852607413896408,-2.099929124270375
GSE298393:GSM9013396,GSE298393,YA,0,original,probe_original,-3.8307584542018276,-5.87489641379932,-2.0441379595974922
GSE298393:GSM9013397,GSE298393,YA,0,original,probe_original,-5.615380187883488,-7.713140880191418,-2.0977606923079293
GSE298393:GSM9013398,GSE298393,OS,0,original,probe_original,-6.625144321336279,-8.78783442985548,-2.1626901085192003
GSE298393:GSM9013399,GSE298393,OS,0,original,probe_original,-6.009111868615378,-8.12079991034011,-2.111688041724733
GSE298393:GSM9013400,GSE298393,OS,0,original,probe_original,-5.9902470966191,-8.136631381488769,-2.1463842848696686
GSE298393:GSM9013404,GSE298393,YA,1,original,probe_original,-9.557190861663571,-11.530860099818483,-1.973669238154912
GSE298393:GSM9013405,GSE298393,YA,1,original,probe_original,-8.712554171236093,-10.790625627598843,-2.07807145636275
GSE298393:GSM9013406,GSE298393,YA,1,original,probe_original,-9.098720910397219,-10.965482426651874,-1.8667615162546554
GSE298393:GSM9013410,GSE298393,OS,1,original,probe_original,-9.157983829051432,-11.218035814492282,-2.0600519854408503
GSE298393:GSM9013411,GSE298393,OS,1,original,probe_original,-9.101312850708268,-11.181400008570336,-2.080087157862067
GSE298393:GSM9013412,GSE298393,OS,1,original,probe_original,-10.809331324801974,-12.807232087942793,-1.9979007631408194
GSE234465:GSM7469191,GSE234465,YA,0,harmonized,probe_original,-12.623965854907624,-14.638966474886388,-2.015000619978764
GSE234465:GSM7469192,GSE234465,YA,0,harmonized,probe_original,-11.355817848244328,-13.360151062393811,-2.004333214149483
GSE234465:GSM7469193,GSE234465,YA,0,harmonized,probe_original,-11.54679130040688,-13.611335750227795,-2.0645444498209145
GSE234465:GSM7469194,GSE234465,OS,0,harmonized,probe_original,-11.706964693084501,-13.764649163882382,-2.0576844707978807
GSE234465:GSM7469195,GSE234465,OS,0,harmonized,probe_original,-11.989761586617874,-14.018894883488997,-2.029133296871123
GSE234465:GSM7469196,GSE234465,OS,0,harmonized,probe_original,-10.213956781989395,-12.209447143680563,-1.995490361691168
GSE234465:GSM7469197,GSE234465,YA,1,harmonized,probe_original,-12.021388233007315,-14.033493720594606,-2.0121054875872915
GSE234465:GSM7469198,GSE234465,YA,1,harmonized,probe_original,-11.86310120783412,-13.874329666954395,-2.011228459120275
GSE234465:GSM7469199,GSE234465,YA,1,harmonized,probe_original,-6.4618954314784105,-8.509818954449656,-2.047923522971246
GSE234465:GSM7469200,GSE234465,OS,1,harmonized,probe_original,-9.088378323084044,-11.059443472341172,-1.9710651492571287
GSE234465:GSM7469201,GSE234465,OS,1,harmonized,probe_original,-9.083090266040358,-11.07895866704473,-1.9958684010043726
GSE234465:GSM7469202,GSE234465,OS,1,harmonized,probe_original,-9.258503015206998,-11.311328373724223,-2.052825358517225
GSE298393:GSM9013395,GSE298393,YA,0,harmonized,probe_original,-6.752678289626033,-8.852607413896408,-2.099929124270375
GSE298393:GSM9013396,GSE298393,YA,0,harmonized,probe_original,-3.8307584542018276,-5.87489641379932,-2.0441379595974922
GSE298393:GSM9013397,GSE298393,YA,0,harmonized,probe_original,-5.615380187883488,-7.713140880191418,-2.0977606923079293
GSE298393:GSM9013398,GSE298393,OS,0,harmonized,probe_original,-6.625144321336279,-8.78783442985548,-2.1626901085192003
GSE298393:GSM9013399,GSE298393,OS,0,harmonized,probe_original,-6.009111868615378,-8.12079991034011,-2.111688041724733
GSE298393:GSM9013400,GSE298393,OS,0,harmonized,probe_original,-5.9902470966191,-8.136631381488769,-2.1463842848696686
GSE298393:GSM9013404,GSE298393,YA,1,harmonized,probe_original,-9.557190861663571,-11.530860099818483,-1.973669238154912
GSE298393:GSM9013405,GSE298393,YA,1,harmonized,probe_original,-8.712554171236093,-10.790625627598843,-2.07807145636275
GSE298393:GSM9013406,GSE298393,YA,1,harmonized,probe_original,-9.098720910397219,-10.965482426651874,-1.8667615162546554
GSE298393:GSM9013410,GSE298393,OS,1,harmonized,probe_original,-9.157983829051432,-11.218035814492282,-2.0600519854408503
GSE298393:GSM9013411,GSE298393,OS,1,harmonized,probe_original,-9.101312850708268,-11.181400008570336,-2.080087157862067
GSE298393:GSM9013412,GSE298393,OS,1,harmonized,probe_original,-10.809331324801974,-12.807232087942793,-1.9979007631408194
