training_pool,id,sample_index,label,reference,k,panel,replicate,signed_score_movement_toward_reference,absolute_logit_change,predicted_IG_change,observed_logit_change,renormalized
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,18,0.09731465936238237,0.09731465936238237,0.10055616962377609,0.09731465936238237,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,19,0.04915149516295969,0.04915149516295969,0.05563485754102483,0.04915149516295969,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,top,-1,2.9434572620132258,2.9434572620132258,2.821598064445307,2.9434572620132258,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,top,-1,2.7813819961374975,2.7813819961374975,2.821598064445307,2.7813819961374975,True
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,0,0.01275340822758153,0.01275340822758153,0.011728915248964054,0.01275340822758153,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,1,0.139447167998469,0.139447167998469,0.13651969138167588,0.139447167998469,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,2,0.050700865731414524,0.050700865731414524,0.0493147715996189,0.050700865731414524,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,3,-0.023017684129854388,0.023017684129854388,-0.025296082209805316,-0.023017684129854388,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,4,-0.07007272185092006,0.07007272185092006,-0.07205703269068629,-0.07007272185092006,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,5,-0.027418802076454085,0.027418802076454085,-0.03872727662635492,-0.027418802076454085,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,6,0.004960940204682629,0.004960940204682629,0.006359466171783308,0.004960940204682629,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,7,-0.004671931979373767,0.004671931979373767,-0.027749205545505654,-0.004671931979373767,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,8,0.017566843814847743,0.017566843814847743,0.025184419165430242,0.017566843814847743,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,9,0.022306101997628502,0.022306101997628502,0.026708694232392423,0.022306101997628502,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,10,-0.1353919938208037,0.1353919938208037,-0.1513509705127114,-0.1353919938208037,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,11,-0.0728582303438543,0.0728582303438543,-0.08120440462060015,-0.0728582303438543,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,12,0.13000291407843179,0.13000291407843179,0.13237815935914812,0.13000291407843179,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,13,-0.06119426790496618,0.06119426790496618,-0.07250882459947272,-0.06119426790496618,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,14,-0.18465874596540743,0.18465874596540743,-0.1911091891132546,-0.18465874596540743,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,15,0.128140107839954,0.128140107839954,0.14507202622163454,0.128140107839954,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,16,-0.15353683396938322,0.15353683396938322,-0.1550108081627187,-0.15353683396938322,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,17,0.1928786273017522,0.1928786273017522,0.19178214202203134,0.1928786273017522,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,18,0.11384424901825696,0.11384424901825696,0.12751225464073254,0.11384424901825696,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,25,matched_random,19,0.08105258479236,0.08105258479236,0.08850019025166264,0.08105258479236,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,top,-1,5.535285241929387,5.535285241929387,5.4522751504587195,5.535285241929387,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,top,-1,5.036794055100245,5.036794055100245,5.4522751504587195,5.036794055100245,True
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,0,0.31135995901240676,0.31135995901240676,0.30961516583044096,0.31135995901240676,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,1,0.11603058308037362,0.11603058308037362,0.10756927505821902,0.11603058308037362,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,2,0.11484107533374299,0.11484107533374299,0.133462991031302,0.11484107533374299,False
OS,GSE298393:GSM9013404,6,1,training_ground_mean_TPM,100,matched_random,3,0.1097963657064156,0.1097963657064156,0.0914701090619631,0.1097963657064156,False
