model,training_pool,reference,pathway,n_genes,signed_sum,mean_absolute_contribution,absolute_mass_fraction,positive_fraction
bridge,OS,training_ground_mean_TPM,TNF-alpha Signaling via NF-kB,183,0.09985413014734859,0.0063087735850422474,0.01900374063046459,0.5628415300546448
bridge,OS,training_ground_mean_TPM,Hypoxia,184,0.34421210798351964,0.007509845603908747,0.022745311802483074,0.5217391304347826
bridge,OS,training_ground_mean_TPM,Cholesterol Homeostasis,70,-0.003704820247895615,0.004388477601896006,0.005056557958002293,0.5142857142857142
bridge,OS,training_ground_mean_TPM,Mitotic Spindle,196,-0.0535656340296166,0.004371334745798536,0.014103055000656074,0.5
bridge,OS,training_ground_mean_TPM,Wnt-beta Catenin Signaling,40,0.06577770737228149,0.0031026602329138476,0.002042853739781722,0.6
bridge,OS,training_ground_mean_TPM,TGF-beta Signaling,50,0.1506962114998761,0.004722589989939529,0.0038868099864995662,0.64
bridge,OS,training_ground_mean_TPM,IL-6/JAK/STAT3 Signaling,71,0.059618600307410605,0.004204262087364748,0.004913502637454428,0.5774647887323944
bridge,OS,training_ground_mean_TPM,DNA Repair,136,-0.12856508541121228,0.004580704183631944,0.01025449359505452,0.5441176470588235
bridge,OS,training_ground_mean_TPM,G2-M Checkpoint,184,-0.07178513412439413,0.003895679017261586,0.011798968794230126,0.5217391304347826
bridge,OS,training_ground_mean_TPM,Apoptosis,147,0.22742657961567025,0.008477390821358384,0.02051268936746128,0.5578231292517006
bridge,OS,training_ground_mean_TPM,Notch Signaling,32,0.02333244261476327,0.0020880644320078368,0.0010998588085364101,0.5625
bridge,OS,training_ground_mean_TPM,Adipogenesis,189,0.4887193653554773,0.005395088162503831,0.016784306958797096,0.6137566137566137
bridge,OS,training_ground_mean_TPM,Estrogen Response Early,190,0.531991356747325,0.005753063238834346,0.01799267818077397,0.5473684210526316
bridge,OS,training_ground_mean_TPM,Estrogen Response Late,185,0.2612224178001271,0.004854491313344656,0.014782861908027408,0.5567567567567567
bridge,OS,training_ground_mean_TPM,Androgen Response,93,-0.015354972124304056,0.004399324021119055,0.006734602417432087,0.46236559139784944
bridge,OS,training_ground_mean_TPM,Myogenesis,190,0.5813142012438974,0.010520648183380119,0.03290327763806341,0.5894736842105263
bridge,OS,training_ground_mean_TPM,Protein Secretion,92,-0.020380730156774905,0.0034989589304516453,0.005298704930483708,0.5
bridge,OS,training_ground_mean_TPM,Interferon Alpha Response,71,0.09500961837952254,0.0032210742563091943,0.0037644553372104535,0.6056338028169014
bridge,OS,training_ground_mean_TPM,Interferon Gamma Response,154,-0.08469991235903655,0.006642153243305174,0.01683730873267497,0.564935064935065
bridge,OS,training_ground_mean_TPM,Apical Junction,188,0.2837175797342144,0.006922069873948181,0.021420859442286538,0.5212765957446809
bridge,OS,training_ground_mean_TPM,Apical Surface,44,0.04127458820869193,0.005562746873357647,0.004028886549181688,0.6363636363636364
bridge,OS,training_ground_mean_TPM,Hedgehog Signaling,36,-0.05238803423788613,0.009013352787191049,0.005341115062667858,0.5555555555555556
bridge,OS,training_ground_mean_TPM,Complement,169,-0.1518724348753704,0.005003843729479735,0.013919816370210551,0.5088757396449705
bridge,OS,training_ground_mean_TPM,Unfolded Protein Response,102,0.0654649873449423,0.00384465949716198,0.006455072398533563,0.6176470588235294
bridge,OS,training_ground_mean_TPM,PI3K/AKT/mTOR  Signaling,101,-0.12857146708051792,0.006060978328812086,0.010076441045288702,0.6138613861386139
bridge,OS,training_ground_mean_TPM,mTORC1 Signaling,179,-0.2113368935474717,0.005825641350192976,0.017164843120583,0.4860335195530726
bridge,OS,training_ground_mean_TPM,E2F Targets,189,-0.0520516545700216,0.004076343605667757,0.012681646765769378,0.5185185185185185
bridge,OS,training_ground_mean_TPM,Myc Targets V1,175,0.09315331819142797,0.006831785736053677,0.019679558416843546,0.5085714285714286
bridge,OS,training_ground_mean_TPM,Myc Targets V2,54,0.06036873068077334,0.0029594272474419573,0.00263053746281487,0.7037037037037037
bridge,OS,training_ground_mean_TPM,Epithelial Mesenchymal Transition,188,1.1721146123202493,0.013251535200224013,0.041007860089196775,0.5904255319148937
bridge,OS,training_ground_mean_TPM,Inflammatory Response,177,-0.02008117510007114,0.005510173847522732,0.016053939828288403,0.6101694915254238
bridge,OS,training_ground_mean_TPM,Xenobiotic Metabolism,179,0.24136842105157003,0.003954451338634151,0.011651513159728961,0.5586592178770949
bridge,OS,training_ground_mean_TPM,Fatty Acid Metabolism,137,-0.12199738004444094,0.003804879584876149,0.00858034099052355,0.46715328467153283
bridge,OS,training_ground_mean_TPM,Oxidative Phosphorylation,173,-0.11624317030982412,0.005355394783535712,0.01525037973197001,0.5260115606936416
bridge,OS,training_ground_mean_TPM,Glycolysis,183,0.1642487954874008,0.005941787468104099,0.0178982787071188,0.546448087431694
bridge,OS,training_ground_mean_TPM,Reactive Oxygen Species Pathway,43,0.025335229907971015,0.0038267526516977484,0.0027085815178926314,0.4883720930232558
bridge,OS,training_ground_mean_TPM,p53 Pathway,186,0.05265969356046529,0.004981525045507403,0.015251702512896016,0.5698924731182796
bridge,OS,training_ground_mean_TPM,UV Response Up,136,0.2862590173929392,0.006969149005045091,0.015601333543995038,0.5955882352941176
bridge,OS,training_ground_mean_TPM,UV Response Dn,140,0.8057114419998883,0.009716706933541165,0.022391861701263362,0.6214285714285714
bridge,OS,training_ground_mean_TPM,Angiogenesis,34,0.042356964084493055,0.010011483637830118,0.005602997417294635,0.5294117647058824
bridge,OS,training_ground_mean_TPM,heme Metabolism,177,-0.19800647792916018,0.006324523111167895,0.0184265535496591,0.5141242937853108
