training_pool,id,sample_index,label,reference,k,panel,replicate,signed_score_movement_toward_reference,absolute_logit_change,observed_logit_change,renormalized
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,15,0.07932791690756984,0.07932791690756984,0.07932791690756984,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,16,0.0937715592758106,0.0937715592758106,0.0937715592758106,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,17,0.07567802637215228,0.07567802637215228,0.07567802637215228,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,18,0.047785009064386104,0.047785009064386104,0.047785009064386104,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,19,0.09378209711505166,0.09378209711505166,0.09378209711505166,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,top,-1,0.2041752472795102,0.2041752472795102,0.2041752472795102,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,0,-0.010768506605534769,0.010768506605534769,-0.010768506605534769,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,1,0.023584273606440522,0.023584273606440522,0.023584273606440522,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,2,0.013970608323897436,0.013970608323897436,0.013970608323897436,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,3,0.006882427565673391,0.006882427565673391,0.006882427565673391,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,4,0.002239689994633213,0.002239689994633213,0.002239689994633213,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,5,0.024730339601231298,0.024730339601231298,0.024730339601231298,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,6,0.017623678074544295,0.017623678074544295,0.017623678074544295,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,7,0.021121626578157006,0.021121626578157006,0.021121626578157006,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,8,0.0243868371873996,0.0243868371873996,0.0243868371873996,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,9,-0.0049769468796947765,0.0049769468796947765,-0.0049769468796947765,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,10,0.01570350453852238,0.01570350453852238,0.01570350453852238,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,11,0.026127315409123684,0.026127315409123684,0.026127315409123684,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,12,0.027303119696484527,0.027303119696484527,0.027303119696484527,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,13,0.015559200746871357,0.015559200746871357,0.015559200746871357,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,14,0.00835260057984268,0.00835260057984268,0.00835260057984268,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,15,0.01829449128070606,0.01829449128070606,0.01829449128070606,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,16,-0.0024535107102215277,0.0024535107102215277,-0.0024535107102215277,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,17,0.003834586203870249,0.003834586203870249,0.003834586203870249,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,18,0.010896234392123597,0.010896234392123597,0.010896234392123597,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,25,matched_random,19,0.008882045810793545,0.008882045810793545,0.008882045810793545,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,100,top,-1,0.5755805968376471,0.5755805968376471,0.5755805968376471,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,100,matched_random,0,0.056509830918133726,0.056509830918133726,0.056509830918133726,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,100,matched_random,1,0.0594814275652893,0.0594814275652893,0.0594814275652893,False
YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,100,matched_random,2,0.08660798538482405,0.08660798538482405,0.08660798538482405,False
